Flight_Date,Airline,Flight_Number,Origin_Airport,Destination_Airport,Scheduled_Departure_Hour,Scheduled_Departure_Minute,Day_of_Week,Month,Is_Weekend,Peak_Hour,Weather,Temperature_C,Humidity_pct,Wind_Speed_kmh,Visibility_km,Rainfall_mm,Cloud_Cover_pct,Origin_Congestion_Index,Previous_Flight_Delay_Minutes,Turnaround_Risk_Index,Departure_Delay,Delay_Target
2025-12-04,IndiGo,IN8723,BOM,DEL,13,57,3,12,0,0,Rain,20.3,46.1,4.3,9.8,5.2,0.0,63.5,0,23.9,43,1
2024-01-15,IndiGo,IN558,CCU,HYD,19,14,0,1,0,1,Clear/Partly Cloudy,15.3,70.5,8.9,11.7,0.4,39.8,95.3,1,31.5,49,1
2023-11-06,Vistara,VI4949,HYD,DEL,8,50,0,11,0,1,Rain,20.2,53.7,7.8,9.6,4.3,16.6,100.0,1,41.5,73,1
2025-08-08,SpiceJet,SP3196,BLR,DIB,11,56,4,8,0,0,Rain,28.3,42.0,1.5,12.6,4.6,23.6,51.1,1,28.2,40,1
2023-09-09,IndiGo,IN8458,BLR,JGA,22,59,5,9,1,0,Rain,28.9,58.5,1.3,11.3,3.5,36.2,67.0,0,27.9,0,0
2025-03-10,Akasa Air,AK2545,AMD,BLR,6,15,0,3,0,0,Rain,21.6,57.6,3.9,8.6,4.7,25.6,70.9,9,39.7,54,1
2025-02-17,Air India Express,AI4360,BHU,DEL,17,12,0,2,0,1,Clear/Partly Cloudy,19.1,44.5,3.5,13.4,0.0,19.9,73.1,7,44.6,46,1
2023-11-18,Alliance Air,AL5993,BOM,DEL,23,13,5,11,1,0,Rain,19.3,49.4,1.7,10.1,4.4,11.2,79.8,6,33.3,46,1
2023-11-18,Air India,AI8699,CCU,IXR,16,28,5,11,1,0,Clear/Partly Cloudy,18.7,67.1,5.6,8.4,2.9,42.3,60.7,4,23.5,43,1
2025-11-18,IndiGo,IN7828,BOM,SXR,13,3,1,11,0,0,Clear/Partly Cloudy,28.1,40.3,5.3,12.1,0.0,29.6,42.2,3,17.9,0,0
2023-02-23,Air India,AI8427,AKD,JGA,16,16,3,2,0,0,Clear/Partly Cloudy,26.8,55.2,4.4,11.3,0.0,7.9,22.8,0,17.3,0,0
2025-10-20,Air India,AI7135,GWL,CCU,23,32,0,10,0,0,Rain,32.2,58.0,5.2,11.9,3.1,25.2,39.7,6,19.5,0,0
2023-03-26,IndiGo,IN8408,CCU,BOM,18,18,6,3,1,1,Clear/Partly Cloudy,20.8,50.2,12.8,11.3,0.0,31.7,100.0,7,42.1,48,1
2025-12-08,IndiGo,IN8175,COK,JGA,5,52,0,12,0,0,Clear/Partly Cloudy,22.2,62.0,3.5,11.4,0.3,0.0,55.4,5,28.7,37,1
2025-04-22,Akasa Air,AK9605,HYD,DEL,13,5,1,4,0,0,Clear/Partly Cloudy,26.2,50.4,3.7,9.8,2.1,19.6,77.9,1,46.1,35,1
2023-10-14,IndiGo,IN211,BBI,AMD,15,37,5,10,1,0,Clear/Partly Cloudy,23.3,44.2,5.9,11.0,2.5,20.9,49.2,9,31.3,50,1
2025-09-24,IndiGo,IN8217,HYD,AGR,6,20,2,9,0,0,Clear/Partly Cloudy,24.7,63.4,4.4,11.4,1.2,23.7,47.0,33,44.9,55,1
2023-07-21,Air India,AI5374,BLR,IXG,22,9,4,7,0,0,Clear/Partly Cloudy,37.1,74.8,2.4,10.6,0.7,9.2,44.6,2,18.3,30,1
2024-02-04,Air India Express,AI1825,BOM,HYD,16,40,6,2,1,0,Clear/Partly Cloudy,20.2,55.8,2.0,12.0,2.2,17.1,68.0,7,36.9,37,1
2025-10-19,Air India,AI863,BOM,AMD,22,58,6,10,1,0,Clear/Partly Cloudy,23.8,58.7,12.7,11.9,0.0,9.6,82.7,6,46.9,61,1
2024-03-25,Air India,AI8224,MAA,IXJ,11,2,0,3,0,0,Rain,17.4,45.1,2.5,11.9,3.2,34.5,39.8,10,31.3,39,1
2023-10-29,Air India Express,AI2049,HYD,TRV,15,52,6,10,1,0,Clear/Partly Cloudy,24.5,56.0,1.5,10.5,2.4,13.8,56.1,0,35.6,40,1
2023-08-08,IndiGo,IN9376,CCU,GAY,8,28,1,8,0,1,Clear/Partly Cloudy,34.0,55.0,3.9,12.0,0.0,31.5,78.6,12,52.3,61,1
2024-05-31,SpiceJet,SP8068,DEL,AMD,20,5,4,5,0,1,Clear/Partly Cloudy,31.6,52.9,1.1,10.7,0.0,25.1,100.0,2,39.5,70,1
2025-08-24,IndiGo,IN4730,HYD,CCU,12,32,6,8,1,0,Rain,26.6,47.7,10.3,9.6,4.0,39.6,71.8,3,33.8,44,1
2023-02-12,IndiGo,IN919,BLR,MAA,20,7,6,2,1,1,Clear/Partly Cloudy,23.9,34.7,7.8,13.1,0.3,14.6,100.0,11,56.4,55,1
2024-12-30,IndiGo,IN7114,BOM,BLR,23,28,0,12,0,0,Clear/Partly Cloudy,19.7,43.6,2.6,10.1,0.3,33.5,65.6,0,25.0,44,1
2025-03-05,IndiGo,IN1721,MAA,BOM,7,7,2,3,0,1,Clear/Partly Cloudy,26.3,61.7,10.9,10.5,2.3,12.1,78.0,4,35.6,48,1
2023-03-24,IndiGo,IN8226,HYD,BOM,6,44,4,3,0,0,Clear/Partly Cloudy,16.9,48.4,2.0,10.3,0.8,9.8,71.3,7,33.1,64,1
2023-08-07,Air India,AI364,BOM,HYD,15,41,0,8,0,0,Rain,32.8,49.1,2.8,9.3,3.5,29.8,71.7,3,31.9,62,1
2025-08-17,Air India,AI7778,BOM,DEL,5,8,6,8,1,0,Clear/Partly Cloudy,26.3,46.6,4.1,11.4,0.0,17.1,67.7,1,28.2,42,1
2024-04-06,Akasa Air,AK4445,DIB,DEL,11,35,5,4,1,0,Clear/Partly Cloudy,27.8,57.8,7.5,11.7,0.0,17.9,43.6,0,21.8,0,0
2023-06-03,Alliance Air,AL4041,AMD,MAA,23,5,5,6,1,0,Rain,33.8,50.2,5.1,9.8,5.7,25.5,73.2,0,27.8,61,1
2025-06-25,Air India Express,AI2047,MAA,BOM,7,20,2,6,0,1,Clear/Partly Cloudy,37.1,61.4,10.6,11.3,0.0,16.2,83.3,0,32.6,44,1
2023-12-04,Alliance Air,AL1464,BLR,SXV,13,51,0,12,0,0,Clear/Partly Cloudy,17.7,70.8,0.7,10.7,2.2,32.4,58.9,2,33.1,53,1
2024-06-18,SpiceJet,SP1255,VDY,MAA,20,12,1,6,0,1,Clear/Partly Cloudy,29.3,52.4,9.0,12.4,0.0,22.8,58.9,5,41.7,41,1
2024-08-25,Air India Express,AI7280,MAA,DEL,12,44,6,8,1,0,Rain,39.0,51.4,7.6,11.6,4.4,13.5,70.4,3,32.5,50,1
2023-02-19,Air India,AI8881,HYD,BLR,22,46,6,2,1,0,Clear/Partly Cloudy,21.2,56.5,5.4,9.8,2.6,29.4,82.6,11,40.9,62,1
2023-08-26,Air India Express,AI5206,JDH,HYD,8,59,5,8,1,1,Clear/Partly Cloudy,30.9,64.0,2.5,13.0,0.4,18.3,74.9,1,29.4,47,1
2024-10-06,IndiGo,IN259,BLR,COK,23,25,6,10,1,0,Clear/Partly Cloudy,27.9,59.1,3.3,12.0,1.1,47.1,75.6,6,28.7,49,1
